prompt_id,engine,brand_mentioned,rank_position,response_snippet,screenshot_path,run_date,notes
hi-01,chatgpt,,,,,,
hi-01,gemini,,,,,,
hi-02,chatgpt,,,,,,
hi-02,gemini,,,,,,
hi-03,chatgpt,,,,,,
hi-03,gemini,,,,,,
hi-04,chatgpt,,,,,,
hi-04,gemini,,,,,,
hi-05,chatgpt,,,,,,
hi-05,gemini,,,,,,
hi-06,chatgpt,,,,,,
hi-06,gemini,,,,,,
hi-07,chatgpt,,,,,,
hi-07,gemini,,,,,,
hi-08,chatgpt,,,,,,
hi-08,gemini,,,,,,
hi-09,chatgpt,,,,,,
hi-09,gemini,,,,,,
hi-10,chatgpt,,,,,,
hi-10,gemini,,,,,,
cls-01,chatgpt,,,,,,
cls-01,gemini,,,,,,
cls-02,chatgpt,,,,,,
cls-02,gemini,,,,,,
cls-03,chatgpt,,,,,,
cls-03,gemini,,,,,,
cls-04,chatgpt,,,,,,
cls-04,gemini,,,,,,
cls-05,chatgpt,,,,,,
cls-05,gemini,,,,,,
cls-06,chatgpt,,,,,,
cls-06,gemini,,,,,,
cls-07,chatgpt,,,,,,
cls-07,gemini,,,,,,
cls-08,chatgpt,,,,,,
cls-08,gemini,,,,,,
puc-01,chatgpt,,,,,,
puc-01,gemini,,,,,,
puc-02,chatgpt,,,,,,
puc-02,gemini,,,,,,
puc-03,chatgpt,,,,,,
puc-03,gemini,,,,,,
puc-04,chatgpt,,,,,,
puc-04,gemini,,,,,,
pd-01,chatgpt,,,,,,
pd-01,gemini,,,,,,
pd-02,chatgpt,,,,,,
pd-02,gemini,,,,,,
pd-03,chatgpt,,,,,,
pd-03,gemini,,,,,,
